SRC,MISSION_TIME,SS_TIME,ID,EVENT_INFO
SWCDH,2018-08-26 04:01:14.317,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/197.jpg
SWCDH,2018-08-26 04:03:14.347,,EVENT,Auto imaging. Index = 198:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/198.jpg
SWCDH,2018-08-26 04:03:14.347,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/198.jpg
SWCDH,2018-08-26 04:03:14.347,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/198.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:03:14.347,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/198.jpg
SWCDH,2018-08-26 04:05:14.375,,EVENT,Auto imaging. Index = 199:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/199.jpg
SWCDH,2018-08-26 04:05:14.375,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/199.jpg
SWCDH,2018-08-26 04:07:14.390,,EVENT,Auto imaging. Index = 200:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/200.jpg
SWCDH,2018-08-26 04:07:14.390,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/200.jpg
SWCDH,2018-08-26 04:07:14.390,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/200.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:07:14.390,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/200.jpg
SWCDH,2018-08-26 04:09:14.422,,EVENT,Auto imaging. Index = 201:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/201.jpg
SWCDH,2018-08-26 04:09:14.422,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/201.jpg
SWCDH,2018-08-26 04:11:14.439,,EVENT,Auto imaging. Index = 202:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/202.jpg
SWCDH,2018-08-26 04:11:14.439,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/202.jpg
SWCDH,2018-08-26 04:11:14.439,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/202.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:11:14.439,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/202.jpg
SWCDH,2018-08-26 04:13:14.461,,EVENT,Auto imaging. Index = 203:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/203.jpg
SWCDH,2018-08-26 04:13:14.461,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/203.jpg
SWCDH,2018-08-26 04:15:14.471,,EVENT,Auto imaging. Index = 204:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/204.jpg
SWCDH,2018-08-26 04:15:14.471,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/204.jpg
SWCDH,2018-08-26 04:15:14.471,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/204.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:15:14.471,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/204.jpg
SWCDH,2018-08-26 04:17:14.477,,EVENT,Auto imaging. Index = 205:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/205.jpg
SWCDH,2018-08-26 04:17:14.477,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/205.jpg
SWCDH,2018-08-26 04:19:14.518,,EVENT,Auto imaging. Index = 206:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/206.jpg
SWCDH,2018-08-26 04:19:14.518,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/206.jpg
SWCDH,2018-08-26 04:19:14.518,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/206.jpg /mnt/ssd/swcdh/pictures/
